docid	DW
msmarco_passage_00_257661787	56
msmarco_passage_00_257662430	43
msmarco_passage_00_257664103	46
msmarco_passage_00_729310942	47
msmarco_passage_00_729315698	45
msmarco_passage_00_729382608	53
msmarco_passage_00_729386217	55
msmarco_passage_00_729411995	59
msmarco_passage_00_729434403	66
msmarco_passage_01_221183941	66
msmarco_passage_01_26588319	51
msmarco_passage_01_766757222	47
msmarco_passage_02_314584515	53
msmarco_passage_02_315600476	53
msmarco_passage_02_315953928	53
msmarco_passage_02_575448771	66
msmarco_passage_02_575627588	72
msmarco_passage_02_749144840	38
msmarco_passage_03_223409182	44
msmarco_passage_03_301199753	73
msmarco_passage_03_51075631	80
msmarco_passage_03_584274280	50
msmarco_passage_03_600897017	69
msmarco_passage_03_604839711	50
msmarco_passage_03_813170345	77
msmarco_passage_03_843283206	43
msmarco_passage_04_169340024	69
msmarco_passage_04_343697703	46
msmarco_passage_04_671236904	59
msmarco_passage_04_738637329	59
msmarco_passage_04_752506642	43
msmarco_passage_05_294025924	69
msmarco_passage_05_336698195	46
msmarco_passage_05_657601642	42
msmarco_passage_06_322631193	41
msmarco_passage_06_322955082	50
msmarco_passage_06_322956023	55
msmarco_passage_06_483598049	68
msmarco_passage_06_483599029	67
msmarco_passage_06_863817167	37
msmarco_passage_07_329057076	53
msmarco_passage_07_72836379	81
msmarco_passage_07_74680944	80
msmarco_passage_08_503726048	61
msmarco_passage_08_799940563	85
msmarco_passage_08_846460654	51
msmarco_passage_09_234768847	44
msmarco_passage_09_308549887	61
msmarco_passage_09_38145255	62
msmarco_passage_09_417937942	52
msmarco_passage_09_565432774	69
msmarco_passage_09_745251615	620
msmarco_passage_09_819552129	72
msmarco_passage_09_819553760	72
msmarco_passage_10_476972876	65
msmarco_passage_10_477007425	35
msmarco_passage_10_477015544	47
msmarco_passage_10_477028062	49
msmarco_passage_10_477097198	70
msmarco_passage_10_477208329	74
msmarco_passage_10_477219844	53
msmarco_passage_10_477237269	50
msmarco_passage_10_505049765	50
msmarco_passage_10_715989346	53
msmarco_passage_12_636135104	51
msmarco_passage_12_813338871	56
msmarco_passage_12_813339764	36
msmarco_passage_12_813340469	48
msmarco_passage_13_230386212	47
msmarco_passage_14_358048640	71
msmarco_passage_14_865969448	59
msmarco_passage_14_866152764	42
msmarco_passage_15_537182021	52
msmarco_passage_15_538415118	60
msmarco_passage_15_61560686	58
msmarco_passage_15_676932186	65
msmarco_passage_16_231669323	55
msmarco_passage_16_231697325	59
msmarco_passage_16_231702655	38
msmarco_passage_16_231730396	66
msmarco_passage_16_756106917	53
msmarco_passage_17_387620904	50
msmarco_passage_17_677839165	54
msmarco_passage_17_73460892	44
msmarco_passage_18_238809906	43
msmarco_passage_18_47778732	54
msmarco_passage_19_413365442	62
msmarco_passage_19_704404303	41
msmarco_passage_19_761549966	41
msmarco_passage_19_761563782	41
msmarco_passage_20_655928937	45
msmarco_passage_21_345497526	41
