run_id	ST	isLLM	MN
colbertv2	Other	0	1
cip_run_7	GPT	1	2
cip_run_1	T5+GPT	1	3
cip_run_2	T5+GPT	1	3
cip_run_3	T5+GPT	1	2
cip_run_4	T5+GPT	1	2
cip_run_5	T5+GPT	1	2
cip_run_6	T5+GPT	1	2
agg-cocondenser	Other	0	1
slim-pp-0shot-uw	Other	0	1
uot-yahoo_rankgpt35	GPT	1	1
uot-yahoo_rankgpt4	GPT	1	1
uot-yahoo_LLMs-blender	GPT	1	3
WatS-LLM-Rerank	GPT	1	1
naverloo_bm25_RR	T5	1	6
naverloo-frgpt4	T5+GPT	1	5
naverloo-rgpt4	T5+GPT	1	5
splade_pp_ensemble_distil	Other	0	1
splade_pp_self_distil	Other	0	1
bm25_splades	Other	0	3
naverloo_fs	Other	0	5
naverloo_fs_RR	T5	1	10
naverloo_fs_RR_duo	T5	1	10
naverloo_bm25_splades_RR	T5	1	8
D_bm25_splades	Other	0	3
D_naverloo-frgpt4	GPT	1	13
D_naverloo_bm25_RR	T5	1	6
D_naverloo_bm_splade_RR	T5	1	10
WatS-Augmented-BM25	GPT	1	1
uogtr_dph	Other	0	1
uogtr_dph_bo1	Other	0	1
uogtr_be	Other	0	3
uogtr_se	Other	0	3
uogtr_s	Other	0	1
uogtr_se_gb	Other	0	4
uogtr_be_gb	Other	0	2
uogtr_qr_be_gb	T5	1	3
uogtr_b_grf_e	T5	1	3
uogtr_qr_be	T5	1	4
uogtr_b_grf_e_gb	T5	1	4
