qid	QL	QDR	QDS	QW	DL
2001010	0	0.784	0.7023	6	72.5291
2001459	0	2.6311	6.7917	4	57.262
2001575	0	0.104	0.7523	4	440.2367
2002075	0	1.8125	5.2791	7	1005.6332
2002168	0	1.311	4.3667	7	56.8986
2002297	0	0.095	1.0467	5	48.2603
2003061	0	0.25	3.5946	8	1281.2652
2003141	0	0.5142	3.3973	8	392.7173
2003379	0	0.2176	0.5115	5	2010.8127
2003787	0	0.9487	3.3429	5	377.0032
2004282	0	0.7475	1.7903	6	1137.1099
2004369	0	2.069	7.9	5	1637.8333
2004980	0	0.3451	0.6257	6	61.6678
2005952	0	1.4909	14.8077	4	226.5141
2006028	0	0.6018	1.9672	5	444.6685
2006031	0	1.4421	3.2963	7	230.749
2006402	0	0.1953	0.8036	4	1486.8577
2006929	0	0.4177	2.2	7	1514.6275
2007441	0	0.8603	3.1625	4	56.7665
2007798	0	1.4127	1.2687	4	2054.9133
2007816	0	1.5437	0.0739	4	878.3499
2008392	0	0.2589	2.8108	6	199.6463
2009961	0	1.31	0.1493	3	297.8876
2013983	0	1.4177	3.5476	5	183.0881
2014738	0	0.9599	4.6526	5	122.9626
2024410	0	0.7009	2.9565	2	54.1099
2025253	0	1.5868	6.825	8	166.9226
2025694	1	0.6701	4.337	14	84.311
2026883	0	0.6842	2.6491	9	93.6476
2028098	0	0.9515	2.9412	7	1093.1792
2028186	0	1.2491	1.5164	6	445.7012
2031444	0	0.057	0.3175	6	296.0035
2032971	0	0.2692	1.4265	6	1349.8326
2033228	0	0.0921	0.1942	2	3290.982
2033904	0	1.0777	0.1694	5	91.1449
2034050	0	10.5278	3.15	2	1013.9699
2034768	0	0.1627	0.4296	5	228.2751
2036557	0	3.6889	0.4859	7	1207.9345
2038208	0	0.2848	0.1033	5	1577.955
2038875	0	0.7778	2.2727	6	53.1031
2039786	0	0.5743	1.1574	2	1281.4842
2040064	1	0.0694	0.3806	10	441.7009
2041554	0	2.8571	0.4318	4	1620.3416
2044323	0	0.3212	3.641	8	377.3968
2044698	0	1.0863	1.6346	7	66.5961
2046027	0	0.0871	1.3355	8	402.5464
2046312	0	1.775	14.8571	6	990.1974
2047836	0	0.0955	1.0235	8	1757.3351
2047929	0	0.5714	5.2857	7	345.2637
2051782	0	0.1696	0.1364	6	1288.9583
2055067	0	1.1463	2.2	4	59.6193
3005001	0	0.5885	4.8852	7	644.9
3010623	0	0.0952	0.1979	6	1001.3798
3021830	0	0.1552	0.0361	8	1661.0267
3027897	0	0.2544	7.8929	6	43.3916
3030812	0	0.1298	0.0386	5	270.1461
3031910	0	0.6429	3.5098	4	57.2783
3041901	0	0.0969	1.3626	4	49.7037
3059866	0	0.7211	0.1448	4	765.7748
3062402	0	0.3488	2.2676	6	1099.0847
3086246	0	0.7832	1.723	7	55.849
3087008	0	0.6122	2.7031	7	55.9313
3092205	0	0.1813	0.2324	4	312.9221
3096755	0	0.1742	0.6855	6	425.1627
3100119	0	0.4795	1.2848	7	61.103
3100164	0	0.38	0.7395	9	883.4478
3100168	1	1.5337	5.8833	11	54.1235
3100188	1	1.59	3.4655	13	1230.0147
3100235	1	0.2727	0.2727	13	579.6276
3100275	0	0.3876	2.7292	8	55.743
3100289	1	0.2536	1.6615	12	45.0116
3100292	1	0.098	0.0566	15	1544.7428
3100399	0	0.8506	10.1034	8	56.3932
3100511	1	0.1419	1.3151	12	266.9133
3100552	1	0.2	0.6056	12	247.776
3100569	0	0.4653	0.5579	6	1554.963
3100727	1	0.0805	2.082	13	1134.7833
3100825	1	0.7835	4.0882	11	760.7758
3100833	1	0.1144	0.635	13	702.7082
3100909	1	1.1883	2.7444	10	995.8028
3100918	1	0.4276	2.0563	10	143.9186
3100922	1	0.0383	0.5447	10	446.6774
